epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6165,2.12007,2.35288,1.54358,0.55178,0.42552,0.45108,0.24087,1.71826,2.24203,1.43919,0.000661578,0.000661578,0.000661578
2,32.6859,1.86391,1.6496,1.40487,0.6273,0.48586,0.47497,0.23971,1.73781,2.41984,1.4062,0.00130195,0.00130195,0.00130195
3,48.906,1.84799,1.64516,1.39873,0.66032,0.58957,0.63316,0.33936,1.60019,1.43275,1.38065,0.00191591,0.00191591,0.00191591
4,64.6726,1.82024,1.57043,1.39405,0.64309,0.52671,0.58082,0.31968,1.56615,1.45375,1.33408,0.0018812,0.0018812,0.0018812
5,79.0938,1.78522,1.53693,1.36773,0.62054,0.53426,0.55025,0.25208,1.82555,1.58597,1.48573,0.0018416,0.0018416,0.0018416
6,93.7018,1.72347,1.47465,1.34192,0.619,0.60862,0.64456,0.35902,1.54787,1.35313,1.34239,0.001802,0.001802,0.001802
7,109.639,1.73395,1.47254,1.33465,0.71479,0.61345,0.68411,0.3877,1.48483,1.26552,1.30673,0.0017624,0.0017624,0.0017624
8,125.269,1.68422,1.4179,1.30789,0.67566,0.64739,0.70393,0.41567,1.43005,1.26273,1.27212,0.0017228,0.0017228,0.0017228
9,141.224,1.6803,1.40501,1.31165,0.64467,0.61911,0.6542,0.37158,1.52874,1.33463,1.31531,0.0016832,0.0016832,0.0016832
10,155.615,1.64825,1.39557,1.2986,0.69417,0.64739,0.71986,0.4279,1.45456,1.20803,1.29499,0.0016436,0.0016436,0.0016436
11,171.43,1.63374,1.37611,1.29729,0.74072,0.65053,0.73959,0.44352,1.43037,1.18935,1.26638,0.001604,0.001604,0.001604
12,187.313,1.61914,1.34879,1.2804,0.64474,0.66813,0.72375,0.44126,1.35037,1.17448,1.23064,0.0015644,0.0015644,0.0015644
13,201.679,1.61955,1.35042,1.28359,0.70567,0.65116,0.72992,0.42179,1.44551,1.20736,1.26583,0.0015248,0.0015248,0.0015248
14,216.09,1.58444,1.32032,1.26638,0.72858,0.6983,0.77231,0.48851,1.2961,1.10218,1.19883,0.0014852,0.0014852,0.0014852
15,231.91,1.5705,1.29517,1.2656,0.69548,0.69956,0.74555,0.45471,1.35989,1.19459,1.23172,0.0014456,0.0014456,0.0014456
16,246.379,1.57452,1.3012,1.26416,0.72256,0.6983,0.77363,0.49277,1.29903,1.06351,1.21327,0.001406,0.001406,0.001406
17,262.288,1.54252,1.25823,1.25815,0.73518,0.68575,0.76441,0.48065,1.31806,1.18651,1.20733,0.0013664,0.0013664,0.0013664
18,276.758,1.53414,1.24153,1.24328,0.74779,0.71935,0.7855,0.50011,1.31012,1.0535,1.2073,0.0013268,0.0013268,0.0013268
19,292.636,1.53051,1.24651,1.24468,0.77185,0.6895,0.79496,0.51391,1.30063,1.0423,1.19916,0.0012872,0.0012872,0.0012872
20,308.526,1.50446,1.22019,1.23322,0.74788,0.72344,0.79955,0.51699,1.28208,1.03666,1.19988,0.0012476,0.0012476,0.0012476
21,324.563,1.48745,1.19664,1.22812,0.72877,0.73293,0.79462,0.51436,1.26695,1.02054,1.18889,0.001208,0.001208,0.001208
22,339.171,1.47413,1.18867,1.21801,0.77595,0.71833,0.80481,0.52051,1.26544,1.02641,1.18322,0.0011684,0.0011684,0.0011684
23,355.056,1.45564,1.17043,1.21797,0.77046,0.75173,0.82746,0.54982,1.23274,0.94394,1.17263,0.0011288,0.0011288,0.0011288
24,370.888,1.45131,1.14718,1.2041,0.78624,0.72407,0.82825,0.55643,1.2104,0.96028,1.16442,0.0010892,0.0010892,0.0010892
25,387.054,1.42206,1.13339,1.19728,0.77002,0.7513,0.834,0.55934,1.22684,0.94965,1.16289,0.0010496,0.0010496,0.0010496
26,402.971,1.42735,1.12639,1.20398,0.79872,0.74326,0.83521,0.55823,1.22077,0.95827,1.16607,0.00101,0.00101,0.00101
27,417.605,1.42602,1.13965,1.19301,0.82775,0.7279,0.83527,0.56639,1.19596,0.93679,1.14706,0.0009704,0.0009704,0.0009704
28,433.398,1.4054,1.10039,1.18861,0.79128,0.72916,0.82861,0.55453,1.21452,0.9494,1.1608,0.0009308,0.0009308,0.0009308
29,447.967,1.38835,1.08612,1.18172,0.78818,0.77879,0.85021,0.57676,1.19423,0.89723,1.16021,0.0008912,0.0008912,0.0008912
30,463.811,1.39725,1.07939,1.18084,0.82515,0.74921,0.84884,0.57101,1.21746,0.91778,1.15843,0.0008516,0.0008516,0.0008516
31,478.561,1.38408,1.09095,1.17884,0.78583,0.74921,0.84467,0.57352,1.17396,0.91186,1.14014,0.000812,0.000812,0.000812
32,493.066,1.35759,1.05575,1.16409,0.82558,0.75864,0.8548,0.58657,1.17958,0.86867,1.15731,0.0007724,0.0007724,0.0007724
33,508.688,1.35712,1.04516,1.17251,0.83626,0.74041,0.85357,0.5818,1.1655,0.88206,1.14127,0.0007328,0.0007328,0.0007328
34,523.321,1.33758,1.01947,1.15102,0.83179,0.75864,0.86255,0.60529,1.13425,0.85341,1.13255,0.0006932,0.0006932,0.0006932
35,539.113,1.33227,1.01559,1.15018,0.81654,0.79195,0.8698,0.60138,1.14104,0.84771,1.13523,0.0006536,0.0006536,0.0006536
36,553.575,1.32372,1.0245,1.15535,0.82359,0.77813,0.86643,0.6103,1.13429,0.857,1.12374,0.000614,0.000614,0.000614
37,569.234,1.31252,1.0021,1.14288,0.82396,0.77813,0.87103,0.6183,1.11415,0.82152,1.12184,0.0005744,0.0005744,0.0005744
38,584.882,1.30196,0.9857,1.14871,0.82392,0.78818,0.87293,0.60819,1.1367,0.82384,1.13112,0.0005348,0.0005348,0.0005348
