               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/void_mAP, metrics/void_mAP_50
                   0,             0.10096,            0.064681,                   0,             0.26675,             0.37586,             0.22767,            0.072969,            0.076656,            0.054502,                   0,            0.070229,           0.0033079,           0.0033079,            0.072969,             0.22767
                   1,            0.077572,             0.05714,                   0,             0.38519,             0.45129,             0.34138,             0.12765,            0.061363,            0.043379,                   0,            0.040163,           0.0065755,           0.0065755,             0.12765,             0.34138
                   2,            0.068762,             0.05391,                   0,             0.63993,              0.5286,             0.56018,             0.23671,            0.056737,            0.040919,                   0,            0.010032,           0.0097771,           0.0097771,             0.23671,             0.56018
                   3,            0.061618,            0.052224,                   0,             0.62599,             0.54557,             0.58897,             0.26325,            0.049676,            0.040823,                   0,            0.009703,            0.009703,            0.009703,             0.26325,             0.58897
                   4,             0.05599,            0.052716,                   0,             0.67375,             0.62728,             0.66479,             0.29353,            0.047674,            0.041027,                   0,            0.009703,            0.009703,            0.009703,             0.29353,             0.66479
                   5,             0.05295,            0.051041,                   0,             0.68456,              0.6807,             0.71555,             0.34779,            0.043454,            0.038095,                   0,            0.009604,            0.009604,            0.009604,             0.34779,             0.71555
                   6,            0.051285,            0.051268,                   0,              0.6884,             0.64928,             0.69022,             0.32959,            0.045368,            0.039981,                   0,            0.009505,            0.009505,            0.009505,             0.32959,             0.69022
                   7,            0.049232,            0.048529,                   0,             0.65464,             0.66838,             0.67668,             0.30214,            0.047342,            0.036478,                   0,            0.009406,            0.009406,            0.009406,             0.30214,             0.67668
                   8,             0.04809,            0.049788,                   0,             0.71574,             0.69893,             0.73779,              0.3824,             0.04102,             0.03974,                   0,            0.009307,            0.009307,            0.009307,              0.3824,             0.73779
                   9,            0.047786,            0.047973,                   0,             0.74765,             0.67065,             0.73705,             0.39673,            0.040344,            0.036399,                   0,            0.009208,            0.009208,            0.009208,             0.39673,             0.73705
                  10,            0.047014,            0.048441,                   0,             0.74443,               0.725,             0.77795,             0.42316,            0.039342,            0.035761,                   0,            0.009109,            0.009109,            0.009109,             0.42316,             0.77795
                  11,            0.045843,            0.046342,                   0,             0.80085,             0.70145,             0.79443,             0.43681,            0.039111,            0.035131,                   0,             0.00901,             0.00901,             0.00901,             0.43681,             0.79443
                  12,            0.045451,            0.046255,                   0,             0.77222,             0.70319,             0.78822,              0.4293,            0.040458,            0.036221,                   0,            0.008911,            0.008911,            0.008911,              0.4293,             0.78822
                  13,            0.045308,            0.045646,                   0,             0.79043,             0.73539,             0.80355,             0.42867,             0.03951,            0.034778,                   0,            0.008812,            0.008812,            0.008812,             0.42867,             0.80355
                  14,            0.044711,            0.046877,                   0,             0.79597,              0.7115,             0.80332,             0.44399,            0.038628,            0.034572,                   0,            0.008713,            0.008713,            0.008713,             0.44399,             0.80332
                  15,            0.044096,            0.045114,                   0,             0.77767,             0.73853,             0.80511,             0.44041,            0.038656,            0.033905,                   0,            0.008614,            0.008614,            0.008614,             0.44041,             0.80511
                  16,            0.044082,            0.046996,                   0,             0.78081,              0.7115,             0.80533,             0.46924,            0.037137,            0.033286,                   0,            0.008515,            0.008515,            0.008515,             0.46924,             0.80533
                  17,            0.043461,            0.044516,                   0,             0.77902,             0.75299,             0.82427,             0.46962,            0.037886,            0.033369,                   0,            0.008416,            0.008416,            0.008416,             0.46962,             0.82427
                  18,            0.042728,            0.044918,                   0,             0.79699,             0.74273,             0.81141,             0.45382,            0.037263,            0.033891,                   0,            0.008317,            0.008317,            0.008317,             0.45382,             0.81141
                  19,            0.042394,            0.043906,                   0,             0.81435,             0.73413,              0.8242,             0.48948,            0.036485,            0.033078,                   0,            0.008218,            0.008218,            0.008218,             0.48948,              0.8242
                  20,            0.042445,            0.045439,                   0,             0.79768,              0.7335,             0.82525,             0.48878,            0.036644,            0.033145,                   0,            0.008119,            0.008119,            0.008119,             0.48878,             0.82525
                  21,            0.041728,            0.042909,                   0,             0.82246,             0.74921,             0.83384,             0.50199,            0.036401,            0.032728,                   0,             0.00802,             0.00802,             0.00802,             0.50199,             0.83384
                  22,            0.040967,            0.043691,                   0,             0.80165,             0.74733,             0.83496,             0.49188,            0.036312,            0.033836,                   0,            0.007921,            0.007921,            0.007921,             0.49188,             0.83496
                  23,             0.04146,            0.043308,                   0,             0.84829,              0.7345,             0.83895,             0.50328,            0.036089,            0.031822,                   0,            0.007822,            0.007822,            0.007822,             0.50328,             0.83895
                  24,            0.040944,            0.042561,                   0,              0.7993,              0.7291,             0.82686,             0.48565,            0.037114,            0.032971,                   0,            0.007723,            0.007723,            0.007723,             0.48565,             0.82686
                  25,            0.040468,            0.042362,                   0,             0.82489,             0.76618,              0.8413,             0.51125,            0.036491,            0.031696,                   0,            0.007624,            0.007624,            0.007624,             0.51125,              0.8413
                  26,            0.040129,             0.04246,                   0,             0.81642,             0.73796,             0.82545,             0.49418,            0.036461,            0.032538,                   0,            0.007525,            0.007525,            0.007525,             0.49418,             0.82545
                  27,            0.039847,            0.041746,                   0,             0.83041,             0.76241,             0.84207,             0.51443,            0.035887,            0.031817,                   0,            0.007426,            0.007426,            0.007426,             0.51443,             0.84207
                  28,            0.039461,            0.041571,                   0,             0.82963,              0.7468,             0.84065,             0.52581,            0.035243,            0.031593,                   0,            0.007327,            0.007327,            0.007327,             0.52581,             0.84065
                  29,            0.039788,            0.040737,                   0,             0.81374,             0.76338,             0.84978,             0.53759,            0.034542,            0.031064,                   0,            0.007228,            0.007228,            0.007228,             0.53759,             0.84978
                  30,            0.039112,              0.0419,                   0,             0.83902,             0.74041,             0.83018,             0.51544,            0.036625,            0.032162,                   0,            0.007129,            0.007129,            0.007129,             0.51544,             0.83018
                  31,            0.038944,            0.041308,                   0,             0.85059,             0.72533,              0.8299,             0.52014,            0.036033,            0.032233,                   0,             0.00703,             0.00703,             0.00703,             0.52014,              0.8299
                  32,            0.038942,            0.040891,                   0,             0.84188,             0.73961,             0.83637,             0.52857,            0.034966,            0.032113,                   0,            0.006931,            0.006931,            0.006931,             0.52857,             0.83637
                  33,            0.038249,             0.04056,                   0,             0.85593,             0.75805,             0.85209,             0.54071,            0.034113,             0.03134,                   0,            0.006832,            0.006832,            0.006832,             0.54071,             0.85209
